Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
06 February 2007,6095.8,6170.6,6075.25,6092.2,9835067,4443500000,16.23,2.57,1.2
07 February 2007,6104.7,6173.95,6095.05,6157.15,13444728,5852900000,16.4,2.59,1.19
08 February 2007,6148.65,6231.45,6146.75,6208.7,7887486,4547500000,16.54,2.62,1.18
09 February 2007,6211.45,6248.6,6107.5,6184.45,11392225,5230500000,16.47,2.61,1.18
12 February 2007,6085.8,6124.2,5957.3,6031.65,9734632,4671400000,16.07,2.54,1.21
13 February 2007,6026.35,6100.45,5890.3,5946.45,11773291,6083000000,15.84,2.51,1.23
14 February 2007,5841.2,5841.2,5561,5672.55,18277426,9201500000,15.11,2.39,1.29
15 February 2007,5702.35,5852.5,5702.35,5841.65,10108539,5174600000,15.56,2.46,1.25
19 February 2007,5858.15,5948.15,5836.85,5917.45,8688735,4859900000,15.76,2.49,1.24
20 February 2007,5927.5,5945.85,5825.45,5841.25,5467139,2904200000,15.56,2.46,1.25
21 February 2007,5855.2,5868.9,5787.6,5816.95,6516734,3747100000,15.5,2.45,1.26
22 February 2007,5825.45,5854.4,5627.55,5647.65,15962979,6942800000,15.05,2.38,1.29
23 February 2007,5721.4,5738,5427.35,5473.6,12098373,5541500000,14.58,2.31,1.34
26 February 2007,5493.6,5579.1,5376.65,5533.75,8113451,3724100000,14.74,2.33,1.32
27 February 2007,5552.3,5616.25,5407.3,5464.65,11539662,5456200000,14.56,2.3,1.34
28 February 2007,5294.7,5381.55,5112.15,5240.3,12231958,6682800000,13.96,2.21,1.39
01 March 2007,5262.35,5406.35,5213.35,5388.95,7173455,3568400000,14.36,2.27,1.36
02 March 2007,5395.4,5401.15,5196.15,5218.95,10601002,5205800000,13.91,2.2,1.4
05 March 2007,5135.75,5135.75,4980.25,5040.1,10183361,4972600000,13.43,2.12,1.45
06 March 2007,5061.4,5182.45,5005.95,5110.15,9291136,4313600000,13.62,2.15,1.43
07 March 2007,5185.1,5214.4,4950.5,4993.55,11744493,4957400000,13.31,2.11,1.46
08 March 2007,5031.85,5246.5,4999.25,5217.85,11852859,5576300000,13.9,2.2,1.4
09 March 2007,5226.05,5316.95,5160.6,5187.85,11979870,5222500000,13.82,2.19,1.41
12 March 2007,5188.05,5269.3,5152.4,5180.1,10439779,4676300000,13.8,2.18,1.41
13 March 2007,5188.1,5259.9,5169.3,5251.55,7946576,3526700000,13.99,2.21,1.39
14 March 2007,5245.9,5245.9,5022.45,5039.05,7256259,3399700000,13.43,2.12,1.45
15 March 2007,5048.05,5141.8,4949.65,4965,11348382,4879800000,13.23,2.09,1.47
16 March 2007,4978.35,4993.55,4837.25,4893.45,11577474,4533100000,13.04,2.06,1.49
19 March 2007,4900.15,4992.3,4871.45,4979.45,7431345,2818900000,13.27,2.1,1.47
20 March 2007,5014.35,5125.8,5014.35,5084.1,11881257,4205300000,13.55,2.14,1.44
21 March 2007,5104,5299.1,5083.45,5288.4,12636547,5053200000,14.09,2.23,1.38
22 March 2007,5349.45,5568.3,5349.45,5554.75,19973980,8277600000,14.8,2.34,1.32
23 March 2007,5549.4,5594.75,5448.85,5518.85,15639787,6542100000,14.71,2.33,1.32
26 March 2007,5522.05,5593.35,5407.85,5424.3,10794483,4931800000,14.46,2.29,1.35
28 March 2007,5375.5,5375.5,5270.95,5290.15,9226868,3705400000,14.1,2.23,1.38
29 March 2007,5298.9,5309.9,5164.05,5273.2,23888272,9695700000,14.06,2.22,1.39
30 March 2007,5281.4,5339.75,5281.4,5308.5,11157134,4884300000,14.15,2.24,1.38
02 April 2007,5267.7,5267.7,4946.55,4959.65,12534959,4926600000,13.22,2.09,1.47
03 April 2007,4961.3,5048.6,4921.8,4995.15,14983860,4819100000,13.33,2.11,1.46
04 April 2007,4997.05,5108.15,4997.05,5031.75,8453344,3546500000,14.63,2.28,1.32
05 April 2007,5035.9,5151.25,4985.3,5129.2,10120293,3904900000,14.91,2.33,1.3
09 April 2007,5129.05,5335.95,5129.05,5323.8,9708298,4211700000,15.49,2.42,1.25
10 April 2007,5335.4,5349.75,5229.75,5325.5,9197204,4056700000,15.5,2.42,1.25
11 April 2007,5325.3,5374.25,5261.3,5276.65,5526736,2867300000,15.36,2.4,1.26
12 April 2007,5241.15,5241.15,5176.45,5215.15,5883789,2670900000,15.18,2.37,1.28
13 April 2007,5234.5,5404.1,5230.9,5362.1,10972810,4579100000,15.61,2.44,1.24
16 April 2007,5400.3,5465.5,5400.3,5435.1,7436692,3366600000,15.82,2.47,1.22
17 April 2007,5457.2,5522.15,5387.5,5455.45,13005520,5358300000,15.82,2.48,1.22
18 April 2007,5474.1,5548,5460.15,5513,10512362,4626100000,15.99,2.51,1.21
19 April 2007,5485.2,5587.3,5382.2,5540.3,11572998,5541100000,16.07,2.52,1.2
20 April 2007,5552.1,5626.85,5514.8,5597.55,9098980,4867700000,16.23,2.54,1.19
23 April 2007,5622,5637.1,5536.05,5550.15,8004762,3504000000,15.9,2.52,1.2
24 April 2007,5524.2,5833.05,5511.7,5807.5,24076716,12391300000,16.64,2.64,1.15
25 April 2007,5724,5905.1,5724,5876.45,13754990,7707700000,16.83,2.67,1.13
26 April 2007,5886.95,5975,5862.85,5880.95,15562335,8002700000,16.85,2.67,1.13
27 April 2007,5833.65,5874.75,5731.4,5752.9,10681381,5485000000,16.48,2.62,1.16
30 April 2007,5627.9,5638.65,5490.85,5621,11540720,7153100000,16.16,2.56,1.18
03 May 2007,5656.25,5721.9,5651.05,5693.4,13433961,6718500000,16.36,2.59,1.17
04 May 2007,5713.7,5765.6,5641.75,5656.55,13053208,6901100000,16.25,2.57,1.18
07 May 2007,5773.4,5773.4,5596.2,5610.7,11791053,6154600000,16.04,2.55,1.19
08 May 2007,5584.1,5672.5,5523.75,5537,9246885,5352700000,15.83,2.52,1.2
09 May 2007,5571.15,5649.25,5480.5,5638.55,9545580,5445100000,16.11,2.56,1.18
10 May 2007,5664.2,5742.65,5628.1,5644.95,14494706,6564500000,16.13,2.57,1.18
11 May 2007,5556.25,5708.3,5529.65,5682.45,10779143,6255900000,16.24,2.58,1.17
14 May 2007,5733.3,5859.35,5733.3,5847.8,10799949,6138300000,16.07,2.66,1.14
15 May 2007,5850.05,5968.2,5844.2,5950.65,15261343,7747100000,16.35,2.71,1.12
16 May 2007,5960.65,6154.65,5960.65,6137.85,16119787,10364000000,16.87,2.79,1.08
17 May 2007,6179,6292.05,6179,6270.9,16660526,9935800000,17.23,2.85,1.06
18 May 2007,6241.95,6313.55,6219.4,6290.8,12317585,8117100000,17.2,2.86,1.06
21 May 2007,6315.8,6445.4,6315.8,6391.15,15296279,8383900000,17.48,2.91,1.04
22 May 2007,6384.55,6418,6335,6356.4,12924565,7528100000,17.38,2.89,1.05
23 May 2007,6371.3,6383.85,6252.95,6309.15,11006496,6629600000,17.31,2.87,1.05
24 May 2007,6285.45,6313.75,6183.7,6208.7,8928754,5683800000,17.03,2.82,1.07
25 May 2007,6162.55,6218.85,6091.9,6200.35,7870791,5028000000,17.01,2.82,1.07
28 May 2007,6199.15,6332.65,6199.15,6283.95,7452260,4772300000,17.32,2.86,1.06
29 May 2007,6288.35,6316.95,6257.5,6302.1,5236185,3461000000,17.29,2.87,1.06
30 May 2007,6297.7,6335.45,6223.85,6245.45,7025190,4983400000,17.13,2.84,1.07
31 May 2007,6255.5,6345.3,6255.5,6324.5,12500420,6700900000,17.35,2.88,1.05
01 June 2007,6340.9,6431.5,6340.9,6404.8,8978953,6302200000,17.57,2.91,1.04
04 June 2007,6431.25,6491.45,6400.65,6448.85,7015244,5366400000,17.69,2.8,1.08
05 June 2007,6441.5,6554.9,6411.25,6533.35,9228401,6332800000,17.92,2.84,1.07
06 June 2007,6561.6,6562.5,6312.3,6324.3,7792417,5651500000,17.35,2.75,1.1
07 June 2007,6301.95,6352.3,6204.7,6236.45,7819039,5299300000,17.11,2.71,1.12
08 June 2007,6200.35,6271.2,6129.95,6177.7,8631036,5604300000,16.95,2.68,1.13
11 June 2007,6210.25,6278.9,6151.85,6161.25,4677700,2984900000,16.9,2.68,1.13
12 June 2007,6177.45,6191.95,6059.75,6149.95,7601230,5060700000,16.87,2.67,1.14
13 June 2007,6150.65,6168.5,6048.8,6063.8,7227965,4679200000,16.64,2.64,1.15
14 June 2007,6106.9,6157.2,6085.2,6122.05,7722732,4513000000,16.82,2.66,1.14
15 June 2007,6134.85,6239.8,6134.85,6176.2,8342544,5643800000,16.96,2.69,1.13
18 June 2007,6210.5,6245.8,6157.65,6174.4,6135312,3681800000,16.96,2.69,1.13
19 June 2007,6165.5,6382.4,6165.5,6366.95,10383100,5931500000,17.49,2.77,1.1
20 June 2007,6376.5,6508,6376.5,6496.85,14499135,7652900000,17.85,2.83,1.07
21 June 2007,6486.4,6562.25,6438.75,6536.25,11130123,7845000000,17.95,2.84,1.07
22 June 2007,6544.3,6621.15,6521.95,6542.05,12883642,8474200000,17.97,2.71,1.14
25 June 2007,6548.95,6555.9,6490.35,6544.55,8288499,4818600000,17.98,2.71,1.14
26 June 2007,6501.5,6547.65,6490.75,6515.6,7856246,5339200000,17.9,2.69,1.15
27 June 2007,6522.5,6534.1,6457.3,6482.45,7128429,5416000000,17.81,2.68,1.15
28 June 2007,6509.1,6538.15,6487.85,6521.35,10821783,7333000000,17.92,2.7,1.14
29 June 2007,6521.85,6749.95,6521.85,6740.1,14529806,10102100000,18.52,2.79,1.11
02 July 2007,6811.85,6828.9,6696,6718,8142499,5613600000,18.46,2.78,1.11
03 July 2007,6719.65,6882.6,6719.65,6857.1,10700547,7786000000,18.84,2.84,1.09
04 July 2007,6917.35,6917.35,6777.5,6836.45,7476502,5747300000,18.78,2.83,1.09
05 July 2007,6845.25,6902.8,6739.5,6818.35,12026839,8678200000,18.73,2.82,1.09
06 July 2007,6796.5,6830.45,6751.35,6791.25,12527274,9782700000,19.61,2.95,1.05
09 July 2007,6787.75,6895.7,6752.4,6867.9,15002035,7267900000,19.83,2.98,1.03
10 July 2007,6891.8,6906.05,6798.8,6814.7,12162757,5927700000,19.58,2.96,1.04
11 July 2007,6779.25,6845.2,6752.65,6794.7,11274501,5087200000,19.52,2.95,1.05
12 July 2007,6812.05,6931.5,6812.05,6916.05,9612807,4872000000,19.87,3.01,1.03
13 July 2007,6935,7032.65,6935,6980.35,13907896,8342900000,19.99,3.03,1.02
16 July 2007,6985.05,7112.9,6938.05,7101.3,15528894,7980500000,20.4,3.1,1
17 July 2007,7064.25,7154.4,7020,7041.75,14901294,8478200000,20.22,3.08,1
18 July 2007,7050.9,7093.9,6978,7068.8,9927061,5829600000,20.3,3.09,1
19 July 2007,7099.15,7157.7,7082.1,7137.9,9750009,6707900000,20.5,3.12,0.99
20 July 2007,7146.7,7209.2,7064.65,7086.55,9761873,6080600000,20.35,3.01,1.05
23 July 2007,7073.7,7088.8,7024.6,7076.3,8992885,4845500000,20.07,3.01,1.05
24 July 2007,7092.35,7142.15,7057.65,7075.6,11618186,6899500000,20.04,3.01,1.05
25 July 2007,7061.35,7068.55,6959.25,7003.45,12781508,6372600000,19.59,2.98,1.06
26 July 2007,7024.9,7032.95,6904.7,6933.3,13997930,7261900000,19.39,2.95,1.07
27 July 2007,6864.55,6864.55,6608.1,6698.65,16698557,10591300000,18.74,2.85,1.11
30 July 2007,6726.6,6937.1,6650.7,6829.8,14113381,9279100000,18.22,2.91,1.09
31 July 2007,6864.1,6943.9,6712.85,6928.45,19952573,12707000000,18.58,2.96,1.07
01 August 2007,6903.85,6903.85,6609.75,6637.35,16576485,12205900000,17.8,2.84,1.12
02 August 2007,6630.85,6819.45,6612.05,6759.15,11784655,8898200000,18.26,2.91,1.09
03 August 2007,6803,6903.4,6797.3,6854.6,7580345,6025800000,18.52,2.95,1.07
06 August 2007,6826.95,6853.85,6627.6,6821.85,10139425,8708500000,18.43,2.94,1.08
07 August 2007,6846.7,6954.65,6796.9,6823.45,12356740,8981800000,18.43,2.94,1.08
08 August 2007,6849.85,6998.6,6849.85,6966.8,13942212,9086200000,18.82,3,1.06
09 August 2007,7001.5,7110.55,6805.6,6837.2,11119698,8171500000,18.54,2.96,1.07
10 August 2007,6665.3,6665.3,6542.4,6646.05,11816636,8724800000,18.02,2.87,1.1
13 August 2007,6650.3,6732.3,6622.8,6679.75,9480874,6929700000,18.11,2.89,1.1
14 August 2007,6735.45,6735.45,6668.9,6702.35,7554196,5084900000,18.31,2.92,1.09
16 August 2007,6456.2,6509.3,6293.65,6305.75,15803163,10000600000,17.23,2.75,1.15
17 August 2007,6273.7,6375.45,6083.85,6245.6,20527473,14086600000,17.16,2.74,1.16
20 August 2007,6358.05,6567.6,6358.05,6491.5,10850530,7649500000,17.83,2.84,1.11
21 August 2007,6490.75,6521.5,6173.7,6210.45,10448039,7243700000,17.06,2.72,1.17
22 August 2007,6242.4,6312.6,6058.35,6228.85,21848276,11893000000,17.11,2.73,1.16
23 August 2007,6303.45,6397.15,6061.55,6090.25,15761374,9049200000,16.73,2.67,1.19
24 August 2007,6128.85,6196.65,6071.45,6176.55,14089992,8960900000,16.97,2.71,1.17
27 August 2007,6278.5,6492.25,6278.5,6471.85,16506999,12004200000,17.78,2.84,1.12
28 August 2007,6470.4,6522.05,6425.35,6485.5,12609369,9259400000,17.82,2.84,1.12
29 August 2007,6409.4,6535.9,6326.5,6509.3,15107965,11192200000,17.88,2.85,1.11
30 August 2007,6581.4,6609.45,6532.9,6572.45,18816123,12464100000,18.06,2.88,1.1
31 August 2007,6582.1,6714.4,6568.2,6675.85,9997528,7642500000,18.34,2.92,1.08
03 September 2007,6712.6,6788.05,6707.45,6774.05,9933434,6658900000,18.61,2.97,1.07
04 September 2007,6852.25,6863.35,6759.1,6801.65,8947024,5903700000,18.69,2.98,1.06
05 September 2007,6784.5,6850.45,6754.4,6777.65,8925923,6654900000,18.62,2.97,1.07
06 September 2007,6718.9,6878.3,6673.75,6868.85,7242822,5472400000,18.87,3.01,1.05
07 September 2007,6839.9,6922.6,6820.65,6842.95,10515414,6885600000,18.8,3,1.06
10 September 2007,6787.65,6883,6740.7,6870.35,6435346,4407700000,18.88,3.01,1.05
11 September 2007,6903.15,6915.35,6805,6815.6,6362084,4611000000,18.73,2.99,1.06
12 September 2007,6837.45,6875.95,6773.65,6784.4,6734469,4193100000,18.64,2.97,1.07
13 September 2007,6789.3,6912.05,6789.3,6904.2,10480568,8050100000,18.97,3.03,1.05
14 September 2007,6941.9,7062.9,6898.7,6912.15,14476118,10339600000,18.99,3.03,1.05
17 September 2007,6898,6977.2,6843,6897.1,5817404,4151500000,18.95,3.02,1.05
18 September 2007,6921.15,7078.95,6883.6,7059.65,10376047,7857500000,19.4,3.09,1.02
19 September 2007,7111,7419.35,7111,7401.85,18727572,14187900000,20.34,3.24,0.98
20 September 2007,7404.95,7462.9,7343.6,7390.15,9870618,8131300000,20.31,3.24,0.98
21 September 2007,7378.3,7506.35,7367.15,7464.5,8653594,6130300000,20.51,3.27,0.97
24 September 2007,7514.4,7661.05,7514.4,7650.9,12193562,8888500000,21.02,3.35,0.95
25 September 2007,7658.5,7694.25,7490.2,7629.15,8998650,6966700000,20.96,3.34,0.95
26 September 2007,7647.1,7829.85,7591.8,7755.9,12887012,10981300000,21.31,3.4,0.93
27 September 2007,7804.55,7866.5,7747.1,7833.65,13890432,12183600000,21.53,3.43,0.92
